station_1,station_2,distance_meters
Hoyt–Schermerhorn,Bergen St,1192.1353481317947
Bergen St,Carroll St,739.8556249116743
Carroll St,Smith–9 Sts,751.1601621717881
Smith–9 Sts,4 Av–9 Sts,637.8607325059446
4 Av–9 Sts,7 Av,10318.392172446236
7 Av,15 St–Prospect Park,1949.944145836894
15 St–Prospect Park,Fort Hamilton Pkwy,2497.7942426359627
Fort Hamilton Pkwy,Church Av,5179.2353744798
Sutphin Blvd–Archer Av–JFK Airport,121 St,1712.977711507809
121 St,111 St,6136.054672795453
111 St,104 St,1750.5493082627215
104 St,Woodhaven Blvd,628.0907942916781
Woodhaven Blvd,85 St–Forest Pkwy,728.6393533243051
85 St–Forest Pkwy,75 St–Elderts Ln,613.7670574537624
75 St–Elderts Ln,Cypress Hills,481.32138701673995
Cypress Hills,Crescent St,757.4825638051824
Crescent St,Norwood Av,562.6831750716046
Norwood Av,Cleveland St,420.70493589222065
Cleveland St,Van Siclen Av,1661.631164603641
Van Siclen Av,Alabama Av,598.500109946843
Alabama Av,Broadway Junction,9194.806919069244
Broadway Junction,Chauncey St,666.2530287181605
Chauncey St,Halsey St,644.3320083096204
Halsey St,Gates Av,1671.1966019729798
Gates Av,Kosciuszko St,689.313252738913
Kosciuszko St,Myrtle Av,718.8473221894669
Myrtle Av,Flushing Av,1278.670888889197
Flushing Av,Lorimer St,664.7740529590296
Lorimer St,Hewes St,842.6910038528022
Hewes St,Marcy Av,400.5179130988874
Marcy Av,Delancey St–Essex St,4891.487420035306
Delancey St–Essex St,Bowery,8172.188798969725
Bowery,Canal St,1081.0688343202262
Fulton St,Broad St,575.2213390427777
8 Av,6 Av,0.0
6 Av,14 St–Union Sq,880.0122521907527
14 St–Union Sq,3 Av,455.1839610539883
3 Av,1 Av,433.1593071425881
1 Av,Bedford Av,2580.119112123661
Bedford Av,Lorimer St,1693.2796257433906
Lorimer St,Graham Av,527.2364698599724
Graham Av,Grand St,4208.8792290349475
Grand St,Montrose Av,470.5655219609374
Montrose Av,Morgan Av,592.4550350717369
Morgan Av,Jefferson St,863.7898976932478
Jefferson St,DeKalb Av,489.29326938144277
DeKalb Av,Myrtle–Wyckoff Avs,6009.832790619909
Myrtle–Wyckoff Avs,Halsey St,1552.7469156406742
Halsey St,Wilson Av,760.4678285275701
Wilson Av,Bushwick Av–Aberdeen St,667.4977073119886
Bushwick Av–Aberdeen St,Broadway Junction,500.0784235440257
Broadway Junction,Atlantic Av,381.26766517795875
Atlantic Av,Sutter Av,671.1805621276578
Sutter Av,Livonia Av,604.4826401710599
Livonia Av,New Lots Av,1412.137328803475
New Lots Av,East 105 St,907.4844947781883
East 105 St,Canarsie–Rockaway Pkwy,479.75781231423406
Astoria–Ditmars Blvd,Astoria Blvd,722.6512243863561
Astoria Blvd,30 Av,493.1400630784761
30 Av,Broadway (Astoria),493.1400630784761
Broadway (Astoria),36 Av,1792.3972680668728
36 Av,39 Av,1301.732531672141
39 Av,Queensboro Plaza,2393.601263824898
Queensboro Plaza,Lexington Av/59 St,2689.3006001999634
Lexington Av/59 St,5 Av/59 St,519.9213561102869
5 Av/59 St,57 St–7 Av,615.8586849198946
57 St–7 Av,49 St,605.4085768603568
49 St,Times Sq–42 St,362.5632247306763
Times Sq–42 St,34 St–Herald Sq,848.9449178489122
34 St–Herald Sq,14 St–Union Sq,1564.9384465643018
14 St–Union Sq,Canal St,1986.2655968917754
Canal St,Atlantic Av–Barclays Ctr,4336.162213536147
Atlantic Av–Barclays Ctr,36 St,3913.8227321682607
36 St,59 St,5840.556891557855
59 St,8 Av (Brooklyn),872.0303401032104
8 Av (Brooklyn),Fort Hamilton Pkwy,1607.4783914567581
Fort Hamilton Pkwy,New Utrecht Av,935.6437164049894
New Utrecht Av,18 Av,2108.984386405051
Bay Pkwy,Kings Hwy,886.5908411009974
Kings Hwy,Avenue U,2194.1191890392292
Avenue U,86 St,21123.359431953446
86 St,Coney Island–Stillwell Av,6418.366071879853
86 St,72 St,17756.91151821002
72 St,Lexington Av/63 St,795.8182762213514
Lexington Av/63 St,57 St–7 Av,1225.3897339773694
57 St–7 Av,Times Sq–42 St,965.5041491554161
Canal St,DeKalb Av,7084.945670616358
DeKalb Av,Atlantic Av–Barclays Ctr,781.0492557597694
Atlantic Av–Barclays Ctr,7 Av,8735.531189675876
7 Av,Prospect Park,1917.0071536423072
Prospect Park,Parkside Av,705.6394488077145
Parkside Av,Church Av,1120.1702257852944
Beverly Rd,Cortelyou Rd,348.8418904155481
Cortelyou Rd,Newkirk Plaza,656.4184073297137
Newkirk Plaza,Avenue H,653.510490581204
Avenue H,Avenue J,475.6666687178786
Avenue J,Avenue M,833.484453285623
Avenue M,Kings Hwy,2334.086251901086
Avenue U,Neck Rd,455.558103825149
Neck Rd,Sheepshead Bay,932.3475974220524
Sheepshead Bay,Brighton Beach,1197.8723422694454
Brighton Beach,Ocean Pkwy,619.462105478329
Ocean Pkwy,W 8 St–NY Aquarium,628.7051015338964
W 8 St–NY Aquarium,Coney Island–Stillwell Av,469.47511863072987
Forest Hills–71 Av,67 Av,875.4576453903347
67 Av,63 Dr–Rego Park,834.532046237367
63 Dr–Rego Park,Woodhaven Blvd,4087.546422717354
Woodhaven Blvd,Grand Av,5260.719637022352
